maand,year,month,qu,cprice,tprice,oprice,incom,q1,q2,q3,q4,bprice,wprice
Jan 1990,1990,1,0.55,12.12,18.6,1,1640.87,1,0,0,0,3.47,28.15
Feb 1990,1990,2,0.65,12.12,18.6,1,1538.6,1,0,0,0,3.4,28.15
Mar 1990,1990,3,0.66,12.12,18.6,1,1680.93,1,0,0,0,3.26,28.33
Apr 1990,1990,4,0.66,12.12,18.6,1,1656.2,0,1,0,0,3.46,28.49
May 1990,1990,5,0.64,12.12,18.6,1,1700.8,0,1,0,0,3.47,28.55
Jun 1990,1990,6,0.65,12.12,18.6,1,1732.67,0,1,0,0,3.68,28.55
Jul 1990,1990,7,0.62,12.12,18.6,1,1650.27,0,0,1,0,3.67,28.84
Aug 1990,1990,8,0.61,12.12,18.6,1,1677.8,0,0,1,0,3.63,28.84
Sep 1990,1990,9,0.63,12.12,18.6,1,1677.27,0,0,1,0,3.35,28.86
Oct 1990,1990,10,0.63,12.12,18.6,1,1723.53,0,0,0,1,3.42,28.86
Nov 1990,1990,11,0.7,12.12,18.6,1,1719.73,0,0,0,1,3.36,28.86
Dec 1990,1990,12,1.04,12.12,18.6,1,1807.73,0,0,0,1,3.32,28.86
Jan 1991,1991,1,0.74,12.12,18.79,1.01,1776.67,1,0,0,0,3.28,29.41
Feb 1991,1991,2,0.67,12.12,18.6,1.01,1655.8,1,0,0,0,3.27,29.41
Mar 1991,1991,3,0.66,12.12,18.6,1.02,1794.6,1,0,0,0,3.22,29.55
Apr 1991,1991,4,0.72,12.12,18.6,1.02,1755.4,0,1,0,0,3.53,29.79
May 1991,1991,5,0.66,12.12,18.6,1.02,1809.93,0,1,0,0,3.48,29.81
Jun 1991,1991,6,0.67,12.12,18.41,1.02,1806,0,1,0,0,3.74,29.83
Jul 1991,1991,7,0.61,12.12,18.41,1.03,1793.4,0,0,1,0,3.75,30.12
Aug 1991,1991,8,0.59,12.12,18.6,1.04,1783.6,0,0,1,0,3.62,30.12
Sep 1991,1991,9,0.66,12.12,18.6,1.05,1745.33,0,0,1,0,3.51,30.14
Oct 1991,1991,10,0.65,12.12,18.6,1.05,1845.4,0,0,0,1,3.44,30.16
Nov 1991,1991,11,0.71,12.12,18.6,1.05,1825.27,0,0,0,1,3.46,30.16
Dec 1991,1991,12,0.77,12.12,18.6,1.05,1906,0,0,0,1,3.28,30.16
Jan 1992,1992,1,0.59,12.12,18.6,1.05,1913.53,1,0,0,0,3.18,30.72
Feb 1992,1992,2,0.71,12.12,18.97,1.06,1777.2,1,0,0,0,3.15,30.72
Mar 1992,1992,3,0.74,12.12,18.97,1.06,1841.87,1,0,0,0,3.16,30.89
Apr 1992,1992,4,0.81,12.12,19.16,1.06,1899.07,0,1,0,0,3.19,31.26
May 1992,1992,5,0.64,12.12,19.16,1.06,1895.27,0,1,0,0,3.08,31.26
Jun 1992,1992,6,0.68,12.24,19.16,1.06,1881.6,0,1,0,0,3.1,31.26
Jul 1992,1992,7,0.63,12.12,18.97,1.07,1923.33,0,0,1,0,2.85,31.49
Aug 1992,1992,8,0.68,12.12,18.79,1.08,1839.8,0,0,1,0,2.62,31.49
Sep 1992,1992,9,0.69,12,18.97,1.08,1880.6,0,0,1,0,2.47,31.58
Oct 1992,1992,10,0.7,12.12,18.97,1.08,1956.4,0,0,0,1,2.47,31.61
Nov 1992,1992,11,0.78,12.12,18.79,1.07,1859.8,0,0,0,1,2.44,31.61
Dec 1992,1992,12,0.81,12.12,18.79,1.06,2059.4,0,0,0,1,2.6,31.61
Jan 1993,1993,1,0.74,12,18.79,1.07,1880.53,1,0,0,0,2.66,32.06
Feb 1993,1993,2,0.63,12.12,18.79,1.08,1792.27,1,0,0,0,2.86,32.06
Mar 1993,1993,3,0.75,12,18.79,1.09,1951.53,1,0,0,0,2.93,32.18
Apr 1993,1993,4,0.66,12,18.79,1.09,1985.87,0,1,0,0,2.88,32.46
May 1993,1993,5,0.68,12,19.16,1.09,1950.33,0,1,0,0,2.79,32.46
Jun 1993,1993,6,0.65,12.12,19.16,1.08,1995.87,0,1,0,0,2.85,32.49
Jul 1993,1993,7,0.63,12.12,19.16,1.09,2014.33,0,0,1,0,3.13,32.58
Aug 1993,1993,8,0.74,12.12,19.34,1.1,1908.73,0,0,1,0,2.94,32.58
Sep 1993,1993,9,0.76,12.6,19.16,1.11,1958.4,0,0,1,0,3.13,32.67
Oct 1993,1993,10,0.65,12.73,19.34,1.11,1981.67,0,0,0,1,3.13,32.67
Nov 1993,1993,11,0.71,12.6,19.34,1.11,1949.8,0,0,0,1,3.19,32.67
Dec 1993,1993,12,0.81,12.6,19.34,1.1,2078.73,0,0,0,1,3.4,32.67
Jan 1994,1994,1,0.76,12.6,19.34,1.1,1985.53,1,0,0,0,3.44,32.92
Feb 1994,1994,2,0.59,13.21,19.34,1.11,1896.6,1,0,0,0,3.64,32.92
Mar 1994,1994,3,0.59,13.33,19.16,1.12,2077.47,1,0,0,0,3.57,32.92
Apr 1994,1994,4,0.77,13.33,19.34,1.12,2080.53,0,1,0,0,3.58,32.89
May 1994,1994,5,0.67,13.33,19.16,1.12,2032.4,0,1,0,0,3.71,32.89
Jun 1994,1994,6,0.7,14.06,19.16,1.12,2109.07,0,1,0,0,3.76,32.89
Jul 1994,1994,7,0.77,15.63,19.53,1.12,2062.67,0,0,1,0,4.43,32.95
Aug 1994,1994,8,0.63,18.18,19.72,1.13,2031.13,0,0,1,0,5.43,32.95
Sep 1994,1994,9,0.61,18.42,19.72,1.13,2063.2,0,0,1,0,5.54,32.95
Oct 1994,1994,10,0.74,19.63,19.72,1.14,2052.07,0,0,0,1,7,32.98
Nov 1994,1994,11,0.62,19.88,19.72,1.13,2051.73,0,0,0,1,7.11,32.98
Dec 1994,1994,12,0.63,20,19.72,1.13,2179.4,0,0,0,1,7.03,32.98
Jan 1995,1995,1,0.66,18.66,19.9,1.13,2039.67,1,0,0,0,7.18,33.27
Feb 1995,1995,2,0.58,18.54,19.72,1.14,1947.33,1,0,0,0,6.71,33.27
Mar 1995,1995,3,0.61,18.54,19.72,1.14,2155.8,1,0,0,0,6.42,33.29
Apr 1995,1995,4,0.66,18.42,19.9,1.14,2101.13,0,1,0,0,6.24,33.35
May 1995,1995,5,0.68,18.54,19.9,1.14,2106.2,0,1,0,0,5.92,33.35
Jun 1995,1995,6,0.59,18.42,19.72,1.14,2201.87,0,1,0,0,5.86,33.38
Jul 1995,1995,7,0.64,18.54,19.9,1.14,2131,0,0,1,0,5.93,33.38
Aug 1995,1995,8,0.52,18.18,20.09,1.14,2108.33,0,0,1,0,5.82,33.38
Sep 1995,1995,9,0.81,17.82,19.9,1.15,2128.27,0,0,1,0,5.86,33.38
Oct 1995,1995,10,0.75,17.09,20.09,1.15,2099.2,0,0,0,1,5.77,33.41
Nov 1995,1995,11,0.71,16.73,19.9,1.15,2118.67,0,0,0,1,5.2,33.41
Dec 1995,1995,12,0.85,16.73,20.09,1.15,2229.8,0,0,0,1,4.98,33.41
Jan 1996,1996,1,0.6,15.76,19.9,1.15,2148,1,0,0,0,4.8,33.67
Feb 1996,1996,2,0.64,15.76,19.9,1.16,2083.13,1,0,0,0,4.54,33.67
Mar 1996,1996,3,0.59,15.76,19.9,1.17,2214.73,1,0,0,0,4.43,33.69
Apr 1996,1996,4,0.74,15.63,19.53,1.17,2200.47,0,1,0,0,4.51,33.95
May 1996,1996,5,0.59,15.63,19.72,1.17,2236.6,0,1,0,0,4.47,33.95
Jun 1996,1996,6,0.67,15.76,19.72,1.16,2260.53,0,1,0,0,4.85,33.95
Jul 1996,1996,7,0.64,15.63,19.53,1.17,2238.07,0,0,1,0,4.77,34.15
Aug 1996,1996,8,0.59,15.63,19.53,1.16,2224.4,0,0,1,0,4.64,34.15
Sep 1996,1996,9,0.74,15.63,19.53,1.17,2164.13,0,0,1,0,4.65,34.15
